,title,lyrics,artists,artistsFromList,date,rank,cnt
39. The Classical Two ""New Generation"" (Rooftop)
40. 2 Live Crew ""We Want Some Pussy!!"" (Luke Skyywalker)

1988

1. Rob Base & DJ E-Z Rock ""It Takes Two"" (Profile)
2. Eric B & Rakim ""Paid in Full (Seven Minutes of Madness Remix)""(4th & B'way)
3. Big Daddy Kane ""Ain't No Half Steppin'"" (Cold Chillin')
4. Boogie Down Productions ""My Philosophy"" (Jive)
5. Run-D.M.C. ""Run's House""/""Beats to the Rhyme"" (Profile)
6. Public Enemy ""Don't Believe the Hype"" (Def Jam)
7. Marley Marl featuring Masta Ace, Craig G, Kool G Rap & Big Daddy Kane ""The Symphony"" (Cold Chillin')
8. De La Soul ""Plug Tunin'"" (Tommy Boy)
9. EPMD ""You Gots to Chill"" (Fresh)
10. Biz Markie ""Vapors"" (Cold Chillin')
11. Doug E. Fresh & the Get Fresh Crew ""Keep Risin' to the Top""(Reality)
12. J.V.C Force ""Strong Island"" (B-Boy)
13. Biz Markie ""The Biz is Goin' Off"" (Prism)
14. Mark 45 King ""The 900 Number"" (Tuff City)
15. Boogie Down Productions ""Jack of Spades""/""I'm Still #1 (Numero Uno)"" (Jive)
16. Eric B. & Rakim ""Microphone Fiend"" (Uni)
17. MC Lyte ""10% Dis"" (First Priority)
18. Stetsasonic ""Sally""/""DBC Let the Music Play"" (Tommy Boy)
19. Jungle Brothers ""Because I Got It Like That"" (Idlers)
20. De La Soul ""Jenifa (Taught Me)""/""Potholes in My Lawn"" (Tommy Boy)
21. Chubb Rock featuring Hitman Howie Tee ""Caught Up (Remix)"" (Select)
22. 2 Much ""Wild Thing"" (Warlock)
23. Marley Marl featuring Craig G ""Droppin' Science"" (Cold Chillin')
24. L.L. Cool J ""Goin' Back to Cali""/""Jack the Ripper"" (Def Jam)
25. Kool G Rap & DJ Polo ""Road to the Riches"" (Cold Chillin')
26. MC EZ & Troup ""Get Retarded"" (Fresh)
27. Stetsasonic ""Talkin' All That Jazz"" (Tommy Boy)
28. Queen Latifah ""Wrath of My Madness""/""Princess of the Posse"" (Tommy Boy)
29. MC Lyte ""Paper Thin"" (Priority)
30. Positive K ""Step Up Front"" (First Priority)
31. MC Shan ""I Pioneered This"" (Cold Chillin')
32. Chill Rob G ""Dope Rhymes""/""Chillin'""/""Wild Pitch"" (Wild Pitch)
33. Kid 'n Play ""Do This My Way"" (Select)
34. Super Lover Cee & Casanova Rud ""Super- Casanova"" (DNA International)
35. Antoinette ""Hit 'em with This""/ ""Unfinished Business"" (Next Plateau)
36. King Tee ""Bass"" (Capitol)
37. J.J. Fad ""Supersonic"" (Dream Team)
38. Sir Mix-a-Lot ""Posse on Broadway"" (Def American)
39. Supreme Nyborn ""Versatility"" (Payroll)
40. Kid 'n Play ""Gittin' Funky"" (Select)

1989

1. Public Enemy ""Fight the Power"" (Motown)
2. EPMD ""So Wat Cha Sayin'"" (Fresh)
3. Slick Rick ""Children's Story"" (Def Jam)
4. Special Ed ""I Got It Made"" (Profile)
5. Slick Rick ""Hey Young World""/""Mona Lisa"" (Def Jam)
6. Biz Markie ""Just a Friend"" (Cold Chillin')
7. Big Daddy Kane ""Smooth Operator""/""Warm It Up, Kane"" (Cold Chillin')
8. De La Soul featuring Jungle Brothers, A Tribe Called Quest & Monie Love ""Buddy (Native Tongues Decision)"" (Tommy Boy)
9. N.W.A ""Straight Outta Compton"" (Ruthless)
10. Three Times Dope ""Funky Dividends"" (Arista)
11. The D.O.C. ""It's Funky Enough"" (Ruthless)
12. N.W.A ""Express Yourself""/""A Bitch iz a Bitch"" (Ruthless)
13. Eazy-E ""Eazy-er Said Than Dunn"" (Ruthless)
14. 2 Live Crew ""Me So Horny"" (Luke)
15. 3rd Bass featuring Zev Love X ""The Gas Face"" (Def Jam)
16. Stezo ""It's My Turn""/""To the Max"" (Fresh)
17. L.L. Cool J ""Big Ole Butt"" (Def Jam)
18. Gang Starr ""Words I Manifest (Remix)"" (Wild Pitch)
19. Digital Underground ""Doowutchyalike"" (Tommy Boy)
20. Chubb Rock featuring Hitman Howie Tee:""Ya Bad Chubbs"" (Select)
21. Positive K ""A Good Combination"" (First Priority)
22. YZ & G Rock ""In Control of Things""/""Thinking of a Master Plan"" (Diversity)
23. 3rd Bass ""Steppin' to the A.M."" (Def Jam)
24. Main Source ""Think""/""Atom"" (Actual)
25. Beastie Boys ""Hey Ladies""/""Shake Your Rump"" (Capitol)
26. Nice & Smooth ""Early to Rise""/""More & More Hits"" (Fresh)
27. MC Lyte ""Cha Cha Cha"" (First Priority)
28. Chill Rob G ""Court is Now in Session"" (Wild Pitch)
29. MC Sugar Ray & Stranger D ""Knock 'em Out, Sugar Ray"" (Def City)[a.k.a. Double XX Posse]
30. Ice-T ""You Played Yourself"" (Sire)
31. Stop the Violence Movement ""Self-Destruction"" (Jive)
32. Boogie Down Productions ""Why is That?"" (Jive)
33. Queen Latifah ""Dance for Me""/ ""Inside Out"" (Tommy Boy)
34. Low Profile ""Pay Ya Dues"" (Priority)
35. The Bizzie Boyz ""Droppin' It"" (Payroll)
36. Young MC ""Bust a Move"" (Delicious Vinyl)
37. Divine Styler featuring the Scheme Team ""Ain't Sayin Nothin""
38. Kwame the Boy Genius featuring a New Beginning ""The Rhythm""(Atlantic)
39. Cool C ""The Glamorous Life"" (Atlantic)
40. Tone-Loc ""Wild Thing"" (Delicious Vinyl)

1990

1. Public Enemy ""Welcome to the Terrordome"" (Def Jam)
2. A Tribe Called Quest ""Bonita Applebum"" (Jive)
3. Digital Underground ""The Humpty Dance"" (Tommy Boy)
4. L.L. Cool J ""Jingling Baby (Remixed but Still Jingling)"" (Def Jam)
5. Nice & Smooth ""Funky for You""/""No Bones in Ice Cream"" (Fresh)
6. EPMD ""Gold Digger"" (Def Jam)
7. Gang Starr ""Just to Get a Rep""/""Who's Gonna Take the Weight?""(Chrysalis)
8. A Tribe Called Quest ""Can I Kick It?""/""If the Papes Come"" (Jive)
9. Main Source ""Looking at the Front Door"" (Wild Pitch)
10. Boogie Down Productions ""Love's Gonna Get'cha (Material Love)"" (Jive)
11. Kool G Rap & DJ Polo ""Streets of New York"" (Cold Chillin')
12. Eric B. & Rakim ""In the Ghetto"" (MCA)
13. Public Enemy ""Brothers Gonna Work It Out"" (Def Jam)
14. L.L. Cool J ""Around the Way Girl"" (Def Jam)
15. Jungle Brothers ""J. Beez Comin' Through"" (Warner Bros)
16. Ice Cube ""AmeriKKKa's Most Wanted""/""Once Upon a Time in the Projects"" (Priority)
17. Terminator X featuring Chuck D & Sister Souljah: ""Buck Whylin'"" (Def Jam)
18. Digital Underground ""Freaks of the Industry"" (Tommy Boy)
19. D-Nice ""Call Me D-Nice"" (Jive)
20. Chubb Rock ""Treat 'em Right"" (Select)
21. 3rd Bass ""Product of the Environment (Remix)""/""3 Strikes 5000"" (Def Jam)
22. K-Solo ""Your Mom's in My Business"" (Atlantic)
23. L.L. Cool J ""To da Break of Dawn"" (Motown)
24. Lord Finesse & DJ Mike Smooth ""Strictly for the Ladies"" (Wild Pitch)
25. Poor Righteous Teachers ""Rock Dis Funky Joint"" (Profile)
26. Above the Law ""Murder Rap"" (Ruthless)
27. Special Ed ""I'm the Magnificent (the Magnificent Remix)""/ ""Ready 2 Attack"" (Profile)
28. K.M.D. ""Peachfuzz"" (Elektra)
29. Ice Cube ""Who's the Mack?"" (Priority)
30. K-Solo ""Spellbound"" (Atlantic)
31. King Tee ""Ruff Rhyme (Back Again)""/""Played Like a Piano"" (Capitol)
32. X Clan ""Funkin' Lesson"" (Island)
33. Kid Frost ""La Raza"" (Virgin)
34. Kings of Swing ""Nod Your Head to This"" (Virgin)
35. Masta Ace ""Me and the Biz"" (Cold Chillin')
36. Double XX Posse ""Executive Class"" (Mel-O)
37. Special Ed ""The Mission"" (Profile)
38. L.L. Cool J ""The Boomin' System"" (Motown)
39. Above the Law ""Untouchable"" (Ruthless)
40. The Jaz featuring Jay-Z ""The Originators"" (EMI)

1991

1. Geto Boys ""Mind Playing Tricks on Me"" (Rap-a-Lot)
2. A Tribe Called Quest ""Check the Rhime"" (Jive)
3. Naughty by Nature ""O.P.P."" (Tommy Boy)
4. Public Enemy ""Shut 'em Down (Pete Rock Remix)"" (Def Jam)
5. Cypress Hill ""How I Could Just Kill a Man"" (Ruffhouse)
6. Brand Nubian ""Slow Down"" (Elektra)
7. Main Source ""Just Hangin' Out""/""Live at the Barbeque"" (Wild Pitch)
8. DJ Jazzy Jeff & the Fresh Prince ""Summertime"" (Jive)
9. Brand Nubian ""All for One"" (Elektra)
10. Ed O.G. & da Bulldogs ""I Got to Have It"" (PWL)
11. MC Breed ""Ain't No Future in Yo' Frontin'"" (Ichiban)
12. EPMD featuring L.L. Cool J ""Rampage"" (Def Jam)
13. Nice & Smooth ""Hip Hop Junkies"" (Fresh)
14. Black Sheep ""Flavor of the Month"" (Mercury)
15. De La Soul ""Ring Ring Ring (Ha Ha Hey)"" (Tommy Boy)
16. Ice Cube ""Steady Mobbin'""/""No Vaseline"" (Priority)
17. Leaders of the New School ""Sobb Story"" (Elektra)
18. Compton's Most Wanted ""Growin' Up in the Hood"" (Orpheus)
19. Tim Dog ""Fuck Compton"" (Ruffhouse)
20. Digital Underground featuring 2Pac ""Same Song"" (Tommy Boy)
21. AMG ""Jiggable Pie"" (Select)
22. MC Lyte ""Poor Georige"" (First Priority)
23. Ed O.G. & da Bulldogs ""Be a Father to Your Child"" (PWL)
24. WC & the MAAD Circle ""Dress Code"" (Priority)
25. Gang Star ""Step in the Arena""/ ""Check the Technique"" (Chrysalis)
26. Poor Righteous Teachers ""Shakiyla"" (Profile)
27. De La Soul featuring Q-Tip ""A Rollerskating Jam Named 'Saturdays'"" (Tommy Boy)
28. Leaders of the New School ""Case of the P.T.A."" (Elektra)
29. K.M.D. ""Nitty Gritty (Remix)""/""Plumskinzz"" (Elektra)
30. Del tha Funkee Homosapien ""Sleepin' on My Couch"" (Elektra)
31. K-Solo ""Fugitive"" (Atlantic)
32. Eric B. & Rakim ""Mahogany"" (MCA)
33. Kool G Rap & DJ Polo ""Bad to the Bone"" (Cold Chillin')
34. AMG ""Bitch Betta Have My Money"" (Select)
35. D-Nice ""25 ta Life"" (Jive)
36. DJ Quik ""Tonight"" (Profile)
37. Special Ed ""Come on, Let's Move It"" (Profile)
38. Ice-T ""O.G. Original Gangster""/""Bitches 2"" (Sire)
39. K.M.D. ""Who Me?"" (Elektra)
40. Raw Fusion ""Throw Your Hands in the Air""/""Do My Thang"" (Hollywood BASIC)

1992

1. Black Sheep ""The Choice is Yours (Revisited)"" (Mercury)
2. Gang Starr featuring Nice & Smooth ""DWYCK"" (Chrysalis)
3. Das EFX ""They Want EFX"" (Eastwest)
4. Dr. Dre featuring Snoop Doggy Dogg ""Deep Cover"" (Epic)
5. Pete Rock & CL Smooth ""T.R.O.Y. (They Reminisce Over You)""(Elektra)
6. A Tribe Called Quest featuring Leaders of the New School ""Scenario"" (Jive)
7. Main Source featuring Neek the Exotic ""Fakin' the Funk (Remix)"" (Wild Pitch)
8. Brand Nubian ""Punks Jump Up to Get Beat Down"" (Elektra)
9. Nas ""Half Time"" (Columbia)
10. EPMD ""Crossover""/""Brothers from Brentwood L.I."" (Def Jam)
11. House of Pain ""Jump Around"" (Tommy Boy)
12. Ultramagnetic MCs ""Poppa Large (East Coast Remix)"" (Mercury)
13. Das EFX ""Mic Checka (Remix)""/""Jussumen (Remix)"" (Eastwest)
14. Redman ""Blow Your Mind""/""How to Roll a Blunt"" (Def Jam)
15. Naughty by Nature ""Uptown Anthem"" (MCA)
16. Eric B. & Rakim ""Juice (Know the Ledge)"" (MCA)
17. EPMD featuring K-Solo & Redman ""Head Banger"" (Def Jam)
18. A Tribe Called Quest ""Jazz (We've Got)"" (Jive)
19. Naughty by Nature ""Everything's Gonna Be Alright (Ghetto Bastard)""(Tommy Boy)
20. Kool G Rap & DJ Polo ""Ill Street Blues"" (Cold Chillin')
21. Black Moon ""Who Got da Props?"" (Nervous)
22. Apache ""Gangsta Bitch"" (Tommy Boy)
23. Cypress Hill ""Hand on the Pump"" (Ruffhouse)
24. Afrika Bambaataa Presents Time Zone ""Zulu War Chant"" (Planet Rock)
25. Grand Puba ""360 Degrees (What Goes Around)"" (Elektra)
26. Diamond D ""Best Kept Secret""/""Freestyle (Yo, That's That Shit)"" (Chemistry)
27. DJ Quik ""Just Like Compton"" (Profile)
28. Double XX Posse ""Not Gonna Be Able to Do It"" (Big Beat)
29. Pete Rock & CL Smooth ""Straighten It Out"" (Elektra)
30. UMC's ""One to Grow On"" (Wild Pitch)
31. Beastie Boys ""So What'cha Want"" (Grand Royal)
32. Fu-Schnickens featuring Phife Dawg ""La Schmoove"" (Jive)
33. Show & AG: ""Fat Pockets (Remix)"" (Payday)
34. Organized Konfusion featuring O.C. ""Fudge Pudge"" (Hollywood BASIC)
35. Chi Ali ""Age Ain't Nothin' But a #"" (Relativity)
36. Del tha Funkee Homosapien ""Mistadobalina"" (Elektra)
37. Eric B. & Rakim ""Don't Sweat the Technique"" (MCA)
38. MC Ren ""Final Frontier"" (Ruthless)
39. Sir Mix-a-Lot ""Baby Got Back"" (Def American)
40. N2Deep ""Back to the Hotel"" (Profile)

1993

1. Dr. Dre featuring Snoop Doggy Dogg ""Nuthin' But a 'G' Thang"" (Death Row)
2. Wu-Tang Clan ""Protect Ya Neck"" (Wu-Tang)
3. Jeru the Damaja ""Come Clean"" (Payday)
4. The Pharcyde ""Passin' Me By"" (Delicious Vinyl)
5. Redman ""Tonight's da Night"" (Def Jam)
6. 2Pac featuring Shock G & Money B ""I Get Around"" (Interscope)
7. A Tribe Called Quest featuring Trugoy ""Award Tour"" (Jive)
8. Onyx ""Throw Ya Gunz"" (Def Jam)
9. Dr. Dre featuring Snoop Doggy Dogg ""Fuck wit Dre Day (and Everybody's Celebratin')"" (Death Row)
10. Redman ""Time 4 Sum Aksion"" (Def Jam)
11. Wu-Tang Clan ""Method Man"" (Loud)
12. KRS-One ""Outta Here"" (Jive)
13. A Tribe Called Quest ""Electric Relaxation"" (Jive)
14. Souls of Mischief ""93 'til Infinity"" (Jive)
15. Kool G Rap & DJ Polo: ""On the Run (Dirty Untouchable Remix)"" (Cold Chillin')
16. Onyx ""Slam"" (Def Jam)
17. MC Eiht ""Streiht Up Menace"" (Jive)
18. M.O.P. ""How About Some Hardcore"" (Select)
19. The Pharcyde ""Otha Fish"" (Delicious Vinyl)
20. Notorious B.I.G. ""Party and Bullshit"" (Uptown)
21. Alkaholiks ""Make Room"" (Loud)
22. MC Breed featuring 2Pac ""Gotta Get Mine"" (Ichiban)
23. Beatnuts ""Reign of the Tec"" (Relativity)
24. Casual ""That's How It Is (Remix)"" (Jive)
25. Fat Joe ""Flow Joe"" (Relativity)
26. KRS-One ""Sound of da Police""/""Hip Hop vs. Rap"" (Jive)
27. De La Soul ""Breakadawn"" (Tommy Boy)
28. Ultramagnetic MCs ""Two Brothers with Checks (San Francisco, Harvey)""/""One, Two, One, Two"" (Wild Pitch)
29. Diamond D ""I'm Outta Here""/""You Can't Front (the Shit is Real)"" (ChemistrY)
30. Casual ""I Didn't Mean To"" (Jive)
31. Lords of the Underground ""Chief Rocka"" (Elektra)
32. Kurious ""Walk Like a Duck"" (Columbia)
33. Geto Boys ""Crooked Officer"" (Rap-a-Lot)
34. Leaders of the New School ""What's Next?"" (Elektra)
35. Domino ""Getto Jam"" (Outburst)
36. Intelligent Hoodlum ""Grand Groove (Remix)"" (A&M)
37. 2Pac ""Keep Ya Head Up"" (Interscope)
38. Trends of Culture ""Off & On (Remix)"" (Mad Sounds)
39. Cypress Hill ""Insane in the Brain""/ ""When the Shit Goes Down"" (Ruffhouse)
40. Mobb Deep:""Hit It From the Back"" (4th & B'way)

1994

1. Craig Mack ""Flava in Your Ear"" (Bad Boy)
2. Snoop Doggy Dogg ""Gin & Juice"" (Death Row)
3. Wu-Tang Clan ""C.R.E.A.M."" (Loud)
4. The Notorious B.I.G. ""Juicy""/ ""Unbelievable"" (Bad Boy)
5. Method Man ""Bring the Pain"" (Def Jam)
6. O.C. ""Time's Up"" (Wild Pitch)
7. Common ""i used to love h.e.r."" (Relativity)
8. Black Moon ""I Got Cha Opin (Remix)""/""Reality (Killin' Every Nigga in Sight)"" (Nervous)
9. Keith Murray ""The Most Beautifullest Thing in This World"" (Jive)
10. Above the Law ""Black Superman"" (Ruthless)
11. Nas ""It Ain't Hard to Tell"" (Columbia)
12. Smif-n-Wessun ""Bucktown""/""Let's Git It On"" (Nervous)
13. Fugees ""Nappy Heads (Remix)"" (Ruffhouse)
14. Jeru the Damaja ""D. Original"" (Payday)
15. Gang Starr ""Mass Appeal"" (Chrysalis)
16. Nas ""The World is Yours"" (Columbia)
17. Outkast ""Player's Ball"" (LaFace)
18. Scarface ""I Seen a Man Die"" (Rap-a-Lot)
19. Group Home ""Supa Star"" (Payday)
20. Snoop Doggy Dogg ""Murder Was the Case"" (Death Row)
21. Too $hort ""Money in the Ghetto"" (Jive)
22. The Lady of Rage featuring Snoop Doggy Dogg ""Afro Puffs"" (Death Row)
23. Wu-Tang Clan ""Can It Be All So Simple"" (Loud)
24. Channel Live featuring KRS-One ""Mad Izm"" (Capitol)
25. Black Moon ""How Many MCs"" (Nervous)
26. Redman ""Rockafella (Remix)"" (Def Jam)
27. Redman ""Can't Wait"" (Def Jam)
28. Black Moon ""Buck 'em Down (remix)""/""Murder MCs"" (Nervous)
29. De La Soul ""Ego Trippin' Part Two"" (Tommy Boy)
30. Gravediggaz feat. Shabazz the Disciple & Killah Priest ""Diary of a Madman"" (Gee Street)
31. Crooklyn Dodgers ""Crooklyn"" (MCA)
32. Outkast ""Southernplayalisticadillacmuzik"" (LaFace)
33. Bone Thugs-n-Harmony ""Thuggish Ruggish Bone"" (Relativity)
34. Dru Down featuring Luniz ""Ice Cream Man"" (Relativity)
35. Craig Mack featuring Q-Tip ""Get Down (Remix)"" (Bad Boy)
36. Shyheim ""On and On"" (Virgin)
37. JT the Bigga Figga featuring Mac Mall ""Game Recognize Game"" (Get Low)
38. E-40 featuring the Click ""Captain Save a Hoe"" (Sick wid It)
39. Ill Al Skratch ""Where My Homiez"" (Mercury)
40. Nate Dogg & Warren G ""Regulate"" (Death Row)

1995

1. Mobb Deep ""Shook Ones Pt. II"" (Loud)
2. The Notorious B.I.G. ""One More Chance (Stay with Me Remix)"" (Bad Boy)
3. Luniz ""I Got 5 on It"" (Noo Trybe)
4. Ol' Dirty Bastard ""Brooklyn Zoo"" (Elektra)
5. The Notorious B.I.G. ""Big Poppa""/""Who Shot Ya"" (Bad Boy)
6. Method Man featuring Mary J. Blige ""You're All I Need to Get By"" (Def Jam)
7. Junior M.A.F.I.A. featuring the Notorious B.I.G. ""Get Money"" (Big Beat)
8. TRU featuring Mia X ""I'm Bout It, Bout It"" (No Limit)
9. Smoothe da Hustler featuring Trigger tha Gambler ""Broken Language""(Profile)
10. Raekwon ""Incarcerated Scarfaces""/""Ice Cream"" (Loud)
11. KRS-One ""MCs Act Like They Don't Know"" (Jive)
12. E-40 featuring Suga T ""Sprinkle Me"" (Jive)
13. Blahzay Blahzay ""Danger"" (Mercury)
14. WC and the MAAD Circle featuring Mack 10 & Ice Cube ""West Up!""(Payday)
15. Onyx ""Last Dayz"" (Def Jam)
16. Tha Dogg Pound featuring Snoop Doggy Dogg ""New York, New York"" (Death Row)
17. Junior M.A.F.I.A. featuring the Notorious B.I.G. ""Player's Anthem"" (Big Beat)
18. Big Mike ""Playa Playa"" (Rap-a-Lot)
19. Mack 10 ""Foe Life"" (Priority)
20. Redman & Method Man ""How High"" (Def Jam)
21. Raekwon ""Criminology""/""Glaciers of Ice"" (Loud)
22. Smif-n-Wessun featuring Starang Wondah ""Sound Bwoy Bureill"" (Nervous)
23. Grand Puba ""I Like It (I Wanna Be Where You Are)"" (Elektra)
24. Show & AG ""Next Level"" (Payday)
25. Bone Thugs-n-Harmony ""1st of tha Month"" (Relativity)
26. Da Brat ""Give It 2 You (Remix)"" (So So Def)
27. The Pharcyde ""Runnin'""/""Drop"" (Delicious Vinyl)
28. Tha Alkaholiks ""DAAAM!"" (Loud)
29. GZA ""Liquid Swords"" (Geffen)
30. Group Home ""Livin' Proof"" (Payday)
31. Crooklyn Dodgers '95 ""Return of the Crooklyn Dodgers"" (MCA)
32. Das EFX ""Real Hip Hop"" (EastWest)
33. J-Live ""Braggin' Writes"" (Raw Shack)
34. Nine ""Whutcha Want?"" (Profile)
35. Lost Boyz ""Jeeps, Lex Coups, Bimaz & Benz"" (Universal)
36. Ol' Dirty Bastard ""Shimmy Shimmy Ya"" (Elektra)
37. Jay-Z ""In My Lifetime""/""Can't Get wit That"" (Roc-a-Fella)
38. Three 6 Mafia ""Tear da Club Up (Da Real)"" (Prophet)
39. Frankie Cutlass feat. Doo Wop, Fat Joe, Ray Boogie & True God ""Boriquas on da Set"" (Relativity)
40. Q-Ball & Curt Cazal ""My Kinda Moves"" (VZQ)

1996

1. Outkast ""Elevators (Me & You)"" (LaFace)
2. Jay-Z ""Dead Presidents""/""Ain't No Nigga"" (Roc-a-Fella)
3. Fugees ""Killing Me Softly"" (Ruffhouse)
4. Jay-Z featuring Mary J. Blige ""Can't Knock the Hustle"" (Roc-a-Fella)
5. Busta Rhymes ""Woo Hah!! Got You All in Check"" (Elektra)
6. Goodie Mob ""Cell Therapy"" (LaFace)
7. Westside Connection ""Bow Down"" (Priority)
8. Junior M.A.F.I.A. featuring the Notorious B.I.G. ""Get Money (Remix)"" (Big Beat)
9. Lil' Kim ""No Time""/""Queen Bitch"" (Undeas)
10. Mobb Deep ""Drop a Gem on 'Em"" (Loud)
11. Too $hort featuring Erick Sermon ""Buy You Some"" (Jive)
12. Ghostface Killah featuring Raekwon, Cappadonna & the Force MDs ""Daytona 500"" (Razor Sharp)
13. Fugees ""Ready or Not"" (Ruffhouse)
